Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-19 13:37:27,2018-10-19 13:38:50,"1m - 22,288s",FAILED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 13:37:28,2018-10-19 13:37:43,"14,568s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:37:29,2018-10-19 13:37:35,"6,352s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:37:35,2018-10-19 13:37:36,"1,177s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:37:36,2018-10-19 13:37:40,"3,480s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 13:37:40,2018-10-19 13:37:40,"0,592s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:37:40,2018-10-19 13:37:42,"1,352s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 13:37:42,2018-10-19 13:37:42,"0,258s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 13:37:42,2018-10-19 13:37:43,"0,816s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 13:37:43,2018-10-19 13:37:58,"15,021s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:37:43,2018-10-19 13:37:47,"4,075s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:37:47,2018-10-19 13:37:48,"1,133s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:37:48,2018-10-19 13:37:52,"3,744s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 13:37:52,2018-10-19 13:37:52,"0,507s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:37:52,2018-10-19 13:37:56,"4,061s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 13:37:56,2018-10-19 13:37:57,"0,632s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 13:37:57,2018-10-19 13:37:58,"0,826s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 13:37:58,2018-10-19 13:38:11,"12,939s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:37:58,2018-10-19 13:38:02,"4,071s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:38:02,2018-10-19 13:38:03,"1,169s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:38:03,2018-10-19 13:38:06,"3,526s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 13:38:06,2018-10-19 13:38:07,"0,322s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:38:07,2018-10-19 13:38:10,"2,690s",PASSED
